               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,             0.02314,            0.011454,                   0,             0.99611,                   1,               0.995,              0.6122,            0.007706,           0.0034435,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.014155,            0.011209,                   0,             0.97204,                   1,               0.995,             0.60351,           0.0075416,           0.0035346,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.018187,            0.010369,                   0,             0.95731,                   1,               0.995,             0.64764,           0.0071488,           0.0036049,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.014753,            0.010891,                   0,              0.9728,                   1,               0.995,             0.63024,           0.0080174,              0.0035,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.019053,            0.010323,                   0,                   1,             0.95328,               0.995,             0.62885,           0.0083706,           0.0033779,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.016454,            0.011337,                   0,                   1,             0.95074,               0.995,             0.63279,           0.0078701,           0.0033112,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.015618,           0.0098842,                   0,             0.98064,                 0.9,             0.98591,              0.6614,           0.0077343,           0.0033305,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.013422,            0.010654,                   0,             0.99968,                 0.9,             0.98591,             0.65082,           0.0078058,           0.0033057,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.015957,            0.010762,                   0,                   1,             0.87893,             0.97833,             0.63294,           0.0079549,           0.0032351,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.016387,            0.010525,                   0,                   1,             0.88598,             0.96643,             0.63322,           0.0074533,           0.0032201,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.015975,            0.010691,                   0,                   1,             0.88978,             0.97192,              0.6661,           0.0077892,           0.0032558,                   0,             0.00307,             0.00307,             0.00307
                 142,             0.01665,            0.010182,                   0,                   1,             0.88386,             0.97192,             0.66681,           0.0079642,           0.0032904,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.016183,           0.0094825,                   0,             0.97241,                 0.9,             0.98591,             0.68715,           0.0072317,           0.0032146,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.015228,            0.011203,                   0,             0.86093,                   1,             0.97682,             0.67612,           0.0074351,           0.0031717,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.014561,            0.010135,                   0,                   1,              0.9758,               0.995,             0.67143,            0.007067,           0.0031805,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.014938,           0.0099656,                   0,                   1,             0.98546,               0.995,              0.6686,           0.0076206,           0.0031998,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.015362,            0.011257,                   0,             0.93768,                   1,               0.995,             0.67285,           0.0071081,           0.0032089,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.014516,            0.010077,                   0,             0.98309,                   1,               0.995,             0.68839,           0.0072006,             0.00301,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.013306,             0.01004,                   0,             0.97285,                   1,               0.995,             0.69865,           0.0071858,            0.002964,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.015523,             0.01076,                   0,             0.96815,                   1,               0.995,              0.7147,           0.0068248,           0.0029259,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,             0.01521,           0.0096162,                   0,             0.97231,                   1,               0.995,             0.71032,           0.0069013,           0.0029297,                   0,            0.002575,            0.002575,            0.002575
